orgid,locationid,name,address1,address2,city,state,zip,deleted,locationtype,licensenum,id,locationexp,locationissue,status,districtcode,loclatitude,loclongitude,mailaddress1,mailaddress2,mailcity,mailstate,mailzip,locubi,producer,processor,retail,transactionid,transactionid_original,fifteenday_end,delete_time
208,1,HYDRO LIGHT,"340 POWERLINE RD, SUITE A",,CLE ELUM,WA,989228384,0,2,412043,166,1512115199,1479974399,ACTIVE (ISSUED),7P,47.199429,-120.89003,340 POWERLINE RD,,CLE ELUM,WA,989228384,602932545,1,,,61598569,121561,1400930102,
208,2,HYDRO LIGHT,340 POWERLINE RD STE B,,CLE ELUM,WA,989228384,0,7,414905,167,1512115199,1479974399,ACTIVE (ISSUED),7P,47.199429,-120.89003,340 POWERLINE RD,,CLE ELUM,WA,989228384,602932545,,1,,62618185,121582,1400930102,
214,1,GREEN LABS,45 RAYMOND SOUTH BEND RD,STE A,SOUTH BEND,WA,985860000,0,5,413076,168,1512115199,1479628799,ACTIVE (ISSUED),7C,46.665611,-123.780961,2616 231ST PL SE,,SAMMAMISH,WA,980759459,603348825,1,1,,61598569,121570,1401016502,
228,1,DEEPWATER BOTANICALS,5373 GUIDE MERIDIAN RD STE D3,,BELLINGHAM,WA,982260000,0,5,412154,169,1512115199,1480665599,ACTIVE (ISSUED),7I,48.8359487,-122.4859705,2761 LAKE WHATCOM BLVD,,BELLINGHAM,WA,982292718,603349212,1,1,,63009077,121572,1401362102,
224,1,MR. NICE GUY,5805 E SHARP AVE STE B-1 & B-2,,SPOKANE VALLEY,WA,992120000,1,4,412352,170,1475305199,1443682799,CLOSED (PERMANENT),7Q,47.6686538,-117.3260025,3104 W ELOIKA AVE,,SPOKANE,WA,992057327,603333007,1,1,,61598569,121569,1401362100,1479910668
219,1,VIRTUAL SERVICES,2018 IRON ST STE B,,BELLINGHAM,WA,982264212,0,4,412073,171,1496300399,1482220799,ACTIVE (ISSUED),7I,48.757049,-122.465949,737 NORTHSHORE DR,,BELLINGHAM,WA,982264412,603298343,1,1,,66121239,121564,1401362102,
215,1,BMF WASHINGTON,1725 OCEAN AVE BLDG 15,,RAYMOND,WA,985772813,0,6,412149,172,1512115199,1476946799,ACTIVE (ISSUED),7C,46.6827424,-123.7547956,1725 OCEAN AVE BLDG 15,,RAYMOND,WA,985772813,603348427,1,1,,61598569,121580,1401534900,
218,1,ALPHA BUDZ,185 ZEPEDA RD BLDG 1,,FORKS,WA,983319606,0,5,413066,173,1512115199,1479542399,ACTIVE (ISSUED),7R,47.9415099,-124.4112914,PO BOX 2445,,FORKS,WA,983312445,603350893,1,1,,61598569,121560,1401621302,
220,1,NUGREEN,512 E PACIFIC AVE,,SPOKANE,WA,992021437,0,5,413943,174,1512115199,1481097599,ACTIVE (ISSUED),7M,47.6553309,-117.402971,1818 W FRANCIS #386,,SPOKANE,WA,992050000,603348477,1,1,,63861088,121567,1401621302,
226,1,GAIA INDUSTRIES,17022 FROHNING RD,,MONROE,WA,982720000,0,5,412232,175,1493621999,1461740399,ACTIVE (ISSUED),7G,47.823599,-122.002588,1429 AVENUE D # 225,,SNOHOMISH,WA,982901742,603297007,1,1,,61598569,121565,1401880503,
234,1,COPELAND'S CANNABIS FARM,3650 & 1/2 FAIRVIEW CANYON RD,,MONITOR,WA,988360000,0,4,412099,176,1509519599,1477551599,ACTIVE (ISSUED),7P,47.486892,-120.41687,PO BOX 264,,MONITOR,WA,988360264,603342768,1,1,,61598569,121562,1401880503,
241,1,ALPHAPHENO,8971 GUIDE MERIDIAN RD,,LYNDEN,WA,982649134,0,6,412104,177,1509519599,1475564399,ACTIVE (ISSUED),7I,48.966492,-122.486623,557 E HEMMI RD,,LYNDEN,WA,982640000,603338725,1,1,,63009077,121578,1402139702,
232,1,THE MARKET GARDEN,17829 TESTER RD,,SNOHOMISH,WA,982906647,0,6,412037,178,1491029999,1458197999,ACTIVE (ISSUED),7G,47.834963,-122.01639,17833 TESTER RD,,SNOHOMISH,WA,982906647,602378640,1,1,,61598569,121574,1402139702,
238,1,HD HILLS,61 SALMON CREEK RD SUITE A,,OKANOGAN,WA,988409524,0,4,412595,179,1512115199,1480665599,ACTIVE (ISSUED),7H,48.368149,-119.5958226,61 SALMON CREEK RD,,OKANOGAN,WA,988409524,603348986,1,1,,63009077,121579,1402226102,
233,1,HAPPY VALLEY FARMS,5373 GUIDE MERIDIAN  STE D-11,,BELLINGHAM,WA,982267418,0,5,412567,180,1483257599,1452239999,ACTIVE (ISSUED),7I,48.836264,-122.487662,PO BOX 2161,,BLAINE,WA,982310000,603456166,1,1,,61598569,121576,1402226100,
204,1,J D,236 140TH AVE SW,,TENINO,WA,985899606,0,2,412942,181,1509519599,1476514799,ACTIVE (ISSUED),7C,46.8872221,-122.9134344,236 140TH AVE SW,,TENINO,WA,985899606,603337388,1,,,61598569,121559,1402658100,
235,1,TORCH NORTHWEST,3113 S PINE ST UNIT C1,,TACOMA,WA,984090000,0,5,412681,182,1477983599,1469689199,ACTIVE (ISSUED),7B,47.2322558,-122.4726359,3113 S PINE ST UNIT C1,,TACOMA,WA,984090000,603342012,1,1,,61598569,121581,1402658100,
231,1,CPNL,3512 AIRPORT WAY S,,SEATTLE,WA,981342120,0,5,412063,184,1485935999,1451635199,ACTIVE (ISSUED),7J,47.5719654,-122.3222924,3512 AIRPORT WAY S,,SEATTLE,WA,981342120,603269197,1,1,,61598569,121568,1402744500,
236,1,KATIE GARDENS,393 JOHNSON RD STE A,,LYLE,WA,986359527,1,4,412282,185,1433141999,1401433199,CLOSED (PERMANENT),7E,45.7670631,-121.2742978,393 JOHNSON RD,,LYLE,WA,986359527,603350322,1,1,0,61598569,121575,1402744503,1436504400
237,1,TYPHOON YOLANDA,2002 OCEAN BEACH RD SUITE B,,COPALIS CROSSING,WA,985369702,0,5,412570,186,1512115199,1477724399,ACTIVE (ISSUED),7R,47.138077,-124.095256,2002 OCEAN BEACH RD,,COPALIS CROSSING,WA,985369702,603352477,1,1,,61598569,121571,1402744503,
230,1,BILLIFER'S BAKED BUDS,15026 E BREVIER RD SUITE A,,SPOKANE,WA,992179600,0,1,413913,187,1514793599,1480060799,ACTIVE (ISSUED),7N,47.7222002,-117.2031748,15026 E BREVIER RD,,SPOKANE,WA,992179600,603357379,1,,,62418863,121573,1403090100,
243,1,NETTLES UNLIMITED,5805 E SHARP AVE,"SUITES A-6,A-7,A-8,A-9",SPOKANE VALLEY,WA,992120948,0,5,412762,188,1488355199,1464332399,ACTIVE (ISSUED),7Q,47.6686538,-117.3260025,PO BOX 141013,,SPOKANE VALLEY,WA,992141013,602368032,1,1,,61598569,121595,1403610986,
176,1,THE CALYX COMPANY,484 ALDERDALE RD SUITE B,,PROSSER,WA,993509348,0,5,412688,189,1512115199,1478156399,ACTIVE (ISSUED),7O,45.9028049,-119.9103164,PO BOX 1501,,PROSSER,WA,993500000,603349311,1,1,,61598569,121586,1403435703,
244,1,TOTALLY AWESOME CANNABIS,10517 W BALMER RD #A,,SPOKANE,WA,992249153,0,4,412016,190,1491029999,1468997999,ACTIVE (ISSUED),7M,47.665569,-117.557631,1540 HARKSELL RD,,FERNDALE,WA,982489751,603600534,1,1,,61598569,121605,1403435703,
252,1,CANNASOL FARMS,99 GREENACRES RD SUITE E,,RIVERSIDE,WA,988499625,0,6,412240,191,1504249199,1469689199,ACTIVE (ISSUED),7H,48.4711143,-119.5269445,PO BOX 57,,RIVERSIDE,WA,988490057,603324011,1,1,,61598569,121585,1403435700,
166,1,HERBAN MYTH,281 MILL CREEK RD STE A,,LONGVIEW,WA,986329783,0,4,412123,192,1512115199,1480751999,ACTIVE (ISSUED),7E,46.2003709,-123.196574,281 MILL CREEK RD,,LONGVIEW,WA,986329783,603346938,1,1,,63222187,121594,1403435703,
216,1,MARIJUANA AND MORE,6822 SHANNON WAY,,TUMTUM,WA,990340000,0,5,412022,193,1498892399,1467529199,ACTIVE (ISSUED),7M,47.0437841,-122.8583752,6549 LONG LAKE DR,,NINE MILE FALLS,WA,990260000,601280167,1,1,,61598569,121604,1403435700,
245,1,AQUA ORGANICS,82 PORTAGE PLACE UNIT B,,FRIDAY HARBOR,WA,982500000,1,4,413113,194,1483257599,1456905599,CLOSED (PERMANENT),7I,47.0437841,-122.8583752,PO BOX 1466,,FRIDAY HARBOR,WA,982500000,601996429,1,1,,61598569,121592,1403435703,1465016400
223,1,OLYMPIC GROWERS,35100 MILES CRESTON RD N STE A,SUITE A,CRESTON,WA,991178515,0,6,412147,195,1512115199,1480492799,ACTIVE (ISSUED),7O,47.7658149,-118.4842773,23929 22ND DR SE,,BOTHELL,WA,980219626,603348104,1,1,,62618185,121602,1403694902,
210,1,COPPERHEAD FARM,105 MILL ST,,PRESCOTT,WA,993489762,0,5,412078,196,1504249199,1472885999,ACTIVE (ISSUED),7O,46.2986019,-118.308488,103 MILL ST,,PRESCOTT,WA,993489762,603324540,1,1,,61598569,121606,1403694900,
251,1,BEARDED BRO'S BUDS,7955 CHISHOLM TRAIL STE A,,MAPLE FALLS,WA,982667822,1,1,412284,197,1435733999,1402469999,CLOSED (PERMANENT),7I,48.930397,-122.1423,991 RED VALLEY LN,,MAPLE FALLS,WA,982667065,603350330,1,0,0,61598569,121600,1403781300,1426654800
251,2,BEARDED BRO'S BEST,470 W 2ND ST STE 104,,SUMAS,WA,982959633,1,7,417585,198,1435733999,1402469999,CLOSED (PERMANENT),7I,48.998553,-122.26924,991 RED VALLEY LN,,MAPLE FALLS,WA,982667065,603350330,0,1,0,61598569,121603,1403781300,1426654800
290,1,BLACK DOG ACRES,728 TURKEY RANCH RD STE A,,GOLDENDALE,WA,986202329,0,5,412169,199,1488355199,1460789999,ACTIVE (ISSUED),7L,45.8910796,-120.9319247,728 TURKEY RANCH RD,,GOLDENDALE,WA,986202329,603374498,1,1,,61598569,121583,1403781303,
267,1,JCJ GREENS,410 HIGHWAY 150 STE 1,,CHELAN,WA,988160106,1,5,412591,200,1480579199,1466751599,CLOSED (PERMANENT),7P,47.817376,-119.976537,PO BOX 758,,CHELAN FALLS,WA,988170758,603350607,1,1,,61598569,121597,1403781303,1477383309
205,1,DOCANDYETI'S,2407 50TH AVE SW BUILDING 1,,TUMWATER,WA,985128007,0,5,414041,201,1501570799,1468565999,ACTIVE (ISSUED),7C,47.002785,-122.935346,1130 GEORGETOWNE DR NE,,OLYMPIA,WA,985165436,603316419,1,1,,61598569,121591,1404040503,
250,1,ROOT DOWN,3830 E BOONE AVE,,SPOKANE,WA,992024505,0,5,412273,202,1512115199,1479455999,ACTIVE (ISSUED),7Q,47.6687579,-117.353477,PO BOX 4401,,SPOKANE,WA,992200401,603349363,1,1,,61598569,121593,1404386103,
276,2,FRESH PRODUCTIONS,8213 STEAM BOAT ISLAND RD NW,SUITE A,OLYMPIA,WA,985029660,1,6,415783,203,1491029999,1459666799,CLOSED (PERMANENT),7C,47.151511,-122.945643,6753 BELLEVISTA PL NW,,OLYMPIA,WA,985023398,602589633,1,1,,61598569,121589,1404386103,1461906000
239,1,OKANOGAN HIGHLANDS CANNABIS,415 N EMPIRE CREEK RD STE A,,MALO,WA,991509713,0,4,412033,204,1512115199,1479974399,ACTIVE (ISSUED),7M,48.8243361,-118.6329083,415 N EMPIRE CREEK RD,,MALO,WA,991509713,602215880,1,1,,61598569,121584,1404386103,
280,1,TOP CUT FARMS,3101 S LAWRENCE ST,,TACOMA,WA,984094823,0,5,412299,205,1512115199,1478678399,ACTIVE (ISSUED),7D,47.231373,-122.4784953,3101 S LAWRENCE ST,,TACOMA,WA,984094823,603347797,1,1,,65056194,121588,1404386103,
281,1,ISLAND REEFER,481 BUENA VIEW RD   STE A,,CLE ELUM,WA,989228301,1,5,412703,206,1448956799,1416643199,CLOSED (PERMANENT),7P,47.203353,-120.884038,5257 NIGHTHAWK RD,,LANGLEY,WA,982609572,603350494,1,1,0,61598569,121596,1404386100,1449028800
261,1,K&M GROWERS,116 B SOUTH STATE FRONTAGE RD,,TONASKET,WA,988559240,0,6,412249,207,1509519599,1475737199,ACTIVE (ISSUED),7H,48.6677321,-119.4676119,116 B SOUTH STATE FRONTAGE RD,,TONASKET,WA,988559240,603342138,1,1,,61598569,121590,1404386103,
254,1,THE HAPPY CROWD,26425 S RUPP RD D1,,CHENEY,WA,990040000,0,3,416840,208,1512115199,1480751999,ACTIVE (ISSUED),7Q,47.4327485,-117.4665479,8107 S INLAND EMPIRE WAY,,SPOKANE,WA,992249686,603350615,1,,,63222187,121598,1404558903,
257,1,THE GREEN COMPANY,38 APPLE JACK RD,STE A,TONASKET,WA,988559792,0,5,412403,209,1488355199,1458111599,ACTIVE (ISSUED),7H,48.752731,-119.405022,38 APPLE JACK RD,STE A,TONASKET,WA,988559792,603277139,1,1,,61598569,121599,1404558903,
212,1,AVITAS,25404 STATE ROUTE 9 STE A,,ARLINGTON,WA,982230000,0,5,412064,210,1517471999,1481875199,ACTIVE (ISSUED),7G,48.226433,-122.147195,2921 MERIDIAN ST,,BELLINGHAM,WA,982251721,603271186,1,1,,65421176,121607,1404558900,
212,2,AVITAS,25404 STATE ROUTE 9 STE B,,ARLINGTON,WA,982230000,0,7,412759,211,1517471999,1481875199,ACTIVE (ISSUED),7G,48.226433,-122.147195,2921 MERIDIAN ST,,BELLINGHAM,WA,982251721,603271186,,1,,65421176,121672,1404558900,
279,1,SYSCO PANCHO'S,6262 CAMPBELL RD,,PESHASTIN,WA,988479712,0,6,415762,212,1512115199,1479628799,ACTIVE (ISSUED),7P,47.531393,-120.628686,PO BOX 2063,,LEAVENWORTH,WA,988260000,603250855,1,1,,61598569,121601,1404645303,
255,1,LILLY OF THE VALLEY GARDENS,34 YARNELL RD STE A,,TONASKET,WA,988559303,0,5,412516,213,1512115199,1477119599,ACTIVE (ISSUED),7H,48.789891,-119.427886,34 YARNELL RD,,TONASKET,WA,988559303,603350795,1,1,,61598569,121587,1404904502,
269,1,MEDICINE WOMAN,1716 SUNNYSIDE BLVD,,LAKE STEVENS,WA,982583122,0,6,413179,214,1483257599,1450857599,ACTIVE (ISSUED),7G,48.0125139,-122.13585,4821 75TH AVE NE,,MARYSVILLE,WA,982706948,601126223,1,1,,61598569,121628,1404904500,
249,1,E & B GROWERS,71 AMBUSH GROVE LOOP STE B,STE B,USK,WA,991804900,0,4,412449,215,1493621999,1475650799,ACTIVE (ISSUED),7N,47.0437841,-122.8583752,71 AMBUSH GROVE LOOP STE B,,USK,WA,991804900,603500817,1,1,,61598569,121627,1442056500,
278,1,BLUE SKY GROWERS,5526 INDUSTRY LN STE 4,,EAST WENATCHEE,WA,988029551,0,5,412969,216,1509519599,1477033199,ACTIVE (ISSUED),7P,47.508386,-120.295734,3635 RIDGEVIEW BLVD,,WENATCHEE,WA,988019096,603344711,1,1,,61598569,121616,1404990900,
274,1,SWEETGRASS,182 ONEIL RD STE A,,OROVILLE,WA,988449780,0,6,412652,217,1512115199,1478851199,ACTIVE (ISSUED),7H,48.8440632,-119.4046392,PO BOX 1793,,OROVILLE,WA,988441793,603348423,1,1,,61598569,121611,1405066502,
271,1,HORSE HEAVEN HILLS HIGH,158901 W OLD INLAND EMPIRE HWY,,PROSSER,WA,993508799,0,5,412311,218,1512115199,1480751999,ACTIVE (ISSUED),7O,46.213851,-119.828143,173 MARYHILL HWY,,GOLDENDALE,WA,986204605,603404034,1,1,,63222187,121617,1405066503,
253,1,ANTOINE CREEK FARMS,659 ANTOINE CREEK RD,,CHELAN,WA,988168653,0,6,412138,219,1512115199,1478678399,ACTIVE (ISSUED),7H,47.9329476,-119.9258474,300 QUEEN ANNE AVE N STE 400,,SEATTLE,WA,981090000,603348483,1,1,,61598569,121620,1405066503,
275,1,PDT TECHNOLOGIES,4656 RD P #3,,QUINCY,WA,988480000,0,6,415707,220,1498892399,1465455599,ACTIVE (ISSUED),7L,47.157063,-119.83941,4656 ROAD P NW,,QUINCY,WA,988489772,603307697,1,1,,61598569,121629,1405498503,
298,1,MANASTASH GARDENS,540 RONLEE LN NW STE B,,OLYMPIA,WA,985029265,0,5,413123,221,1483257599,1452067199,ACTIVE (ISSUED),7C,47.050673,-122.994606,108 CENTRAL ST NE,,OLYMPIA,WA,985064447,603356438,1,1,,61598569,121609,1405498503,
277,1,RAVENS KEEP,182 ONEIL RD STE B,,OROVILLE,WA,988449780,0,6,412653,222,1480579199,1449129599,ACTIVE (ISSUED),7H,48.8440632,-119.4046392,19 BEN DR,,TONASKET,WA,988559428,603349065,1,1,,62618185,121612,1405584903,
310,1,THE HOLLINGSWORTH CANNABIS COMPANY,541 W HONEYSUCKLE LN,,SHELTON,WA,985846802,0,6,416406,223,1483257599,1459061999,ACTIVE (ISSUED),7R,47.26112,-123.222517,P O BOX 22584,,SEATTLE,WA,981220584,603354868,1,1,,61598569,121614,1405595700,
262,1,ORANGE STATE,37315 N FRIDAY LN,,ELK,WA,990090000,0,6,412409,224,1512115199,1479283199,ACTIVE (ISSUED),7N,47.9941469,-117.2573081,1405 W CLIFFWOOD CT,,SPOKANE,WA,992182901,603350715,1,1,,61598569,121618,1405584903,
247,1,GROWTH INDUSTRIES,5603 STATE ROUTE 12,STE A,PORTER,WA,985590000,0,5,412426,225,1512115199,1480838399,ACTIVE (ISSUED),7R,46.93817,-123.3104677,PO BOX 842,,MALONE,WA,985590842,603349441,1,1,,63389863,121626,1405671303,
285,1,THOMAS PAUL HICKEY,9285 S LAKESHORE RD STE A,,CHELAN,WA,988169352,0,2,413450,226,1514793599,1480492799,ACTIVE (ISSUED),7P,47.891998,-120.223495,PO BOX 1476,,CHELAN,WA,988161476,603357641,1,,,62618185,121608,1405671303,
287,1,BUD HUT,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,982828833,0,10,413901,227,1501570799,1467183599,ACTIVE (ISSUED),3E,48.2398029,-122.4214093,5505 EVERGREEN WAY,,EVERETT,WA,982033638,603359169,,,1,61598569,121623,1406027700,
317,1,RAINIER ON PINE,3111 S PINE ST,,TACOMA,WA,984094711,0,10,414723,228,1483257599,1477724399,ACTIVE (ISSUED),1S,47.2325456,-122.4731979,3111 S PINE ST,,TACOMA,WA,984094711,603358289,,,1,61598569,121619,1406027700,
288,1,CANNARAIL STATION,1448 BASIN ST NW SUITE A,,EPHRATA,WA,988239695,0,8,413366,229,1483257599,1477551599,ACTIVE (ISSUED),4O,47.338769,-119.5349102,1454 BASIN ST NW,,EPHRATA,WA,988239695,600128226,,,1,61598569,121624,1406016903,
360,1,MARGIES'S POT SHOP LLC,405 E STUEBEN,,BINGEN,WA,986050000,0,10,413414,230,1504249199,1468997999,ACTIVE (ISSUED),1M,45.7143383,-121.4652728,PO BOX 431,,BINGEN,WA,986050431,603430369,,,1,61598569,121615,1406027700,
